front_left,front_right,rear_left,rear_right,t
52.0,46.0,52.0,46.0,1776886710.479
52.0,46.0,52.0,46.0,1776886710.491
52.0,46.0,52.0,46.0,1776886710.517
51.0,61.0,51.0,61.0,1776886710.531
66.0,69.0,66.0,69.0,1776886710.951
66.0,69.0,66.0,69.0,1776886710.977
66.0,69.0,66.0,69.0,1776886710.991
66.0,69.0,66.0,69.0,1776886711.017
66.0,69.0,66.0,69.0,1776886711.031
57.0,61.0,57.0,61.0,1776886711.458
57.0,61.0,57.0,61.0,1776886711.471
57.0,61.0,57.0,61.0,1776886711.499
57.0,61.0,57.0,61.0,1776886711.511
45.0,55.0,45.0,55.0,1776886711.537
23.0,13.0,23.0,13.0,1776886711.957
23.0,13.0,23.0,13.0,1776886711.971
23.0,13.0,23.0,13.0,1776886711.999
23.0,13.0,23.0,13.0,1776886712.011
23.0,13.0,23.0,13.0,1776886712.037
9.0,6.0,9.0,6.0,1776886712.457
7.0,4.0,7.0,4.0,1776886712.471
7.0,4.0,7.0,4.0,1776886712.499
7.0,4.0,7.0,4.0,1776886712.511
7.0,4.0,7.0,4.0,1776886712.537
0.0,0.0,0.0,0.0,1776886712.953
0.0,0.0,0.0,0.0,1776886712.979
-1.0,0.0,-1.0,0.0,1776886712.991
-1.0,0.0,-1.0,0.0,1776886713.017
-1.0,0.0,-1.0,0.0,1776886713.031
-14.0,-13.0,-14.0,-13.0,1776886713.457
-14.0,-13.0,-14.0,-13.0,1776886713.471
-23.0,-23.0,-23.0,-23.0,1776886713.497
-23.0,-23.0,-23.0,-23.0,1776886713.511
-23.0,-23.0,-23.0,-23.0,1776886713.537
-55.0,-54.0,-55.0,-54.0,1776886713.951
-55.0,-54.0,-55.0,-54.0,1776886713.978
-55.0,-54.0,-55.0,-54.0,1776886713.991
-65.0,-64.0,-65.0,-64.0,1776886714.017
-65.0,-64.0,-65.0,-64.0,1776886714.031
-99.0,-101.0,-99.0,-101.0,1776886714.458
-99.0,-101.0,-99.0,-101.0,1776886714.471
-99.0,-101.0,-99.0,-101.0,1776886714.497
-99.0,-101.0,-99.0,-101.0,1776886714.511
-104.0,-109.0,-104.0,-109.0,1776886714.546
-78.0,-83.0,-78.0,-83.0,1776886714.977
-78.0,-83.0,-78.0,-83.0,1776886714.992
-78.0,-83.0,-78.0,-83.0,1776886715.018
-67.0,-71.0,-67.0,-71.0,1776886715.031
-67.0,-71.0,-67.0,-71.0,1776886715.057
-36.0,-37.0,-36.0,-37.0,1776886715.471
-36.0,-37.0,-36.0,-37.0,1776886715.498
-36.0,-37.0,-36.0,-37.0,1776886715.511
-36.0,-37.0,-36.0,-37.0,1776886715.537
-36.0,-37.0,-36.0,-37.0,1776886715.551
0.0,0.0,0.0,0.0,1776886715.971
0.0,0.0,0.0,0.0,1776886715.998
0.0,0.0,0.0,0.0,1776886716.016
0.0,0.0,0.0,0.0,1776886716.031
0.0,0.0,0.0,0.0,1776886716.058
0.0,0.0,0.0,0.0,1776886716.471
1.0,0.0,1.0,0.0,1776886716.497
1.0,0.0,1.0,0.0,1776886716.511
1.0,0.0,1.0,0.0,1776886716.538
1.0,0.0,1.0,0.0,1776886716.551
9.0,-43.0,9.0,-43.0,1776886717.0
9.0,-43.0,9.0,-43.0,1776886717.011
9.0,-43.0,9.0,-43.0,1776886717.045
9.0,-43.0,9.0,-43.0,1776886717.058
9.0,-43.0,9.0,-43.0,1776886717.071
16.0,-53.0,16.0,-53.0,1776886717.491
16.0,-53.0,16.0,-53.0,1776886717.519
16.0,-53.0,16.0,-53.0,1776886717.531
16.0,-53.0,16.0,-53.0,1776886717.558
16.0,-53.0,16.0,-53.0,1776886717.571
22.0,-59.0,22.0,-59.0,1776886717.991
22.0,-59.0,22.0,-59.0,1776886718.017
25.0,-22.0,25.0,-22.0,1776886718.031
25.0,-22.0,25.0,-22.0,1776886718.058
25.0,-22.0,25.0,-22.0,1776886718.071
