step,source_index,timestamp,relative_time_sec,image,control_index,telemetry_index,control_timestamp,control_relative_time_sec,telemetry_timestamp,telemetry_relative_time_sec,linear,angular,orientation,speed,battery,signal_level,gps_signal,latitude,longitude,vibration
55,660,1776901395.576274,330.05614590644836,000055.png,,660,,,1776886995.203,329.8510000705719,,,8.0,1.100000023841858,100.0,0.0,27.0,1000.0,1000.0,0.0
56,672,1776901401.577221,336.05709290504456,000056.png,,672,,,1776887001.209,335.85700011253357,,,34.0,1.2899999618530273,100.0,0.0,27.5,1000.0,1000.0,0.0
57,684,1776901407.578254,342.0581259727478,000057.png,,684,,,1776887007.316,341.96399998664856,,,90.0,0.8600000143051147,100.0,0.0,27.75,1000.0,1000.0,0.0
58,696,1776901413.579265,348.0591371059418,000058.png,,696,,,1776887013.258,347.9059998989105,,,115.0,0.8799999952316284,100.0,0.0,27.75,1000.0,1000.0,0.0
59,708,1776901419.5802,354.06007194519043,000059.png,,708,,,1776887019.35,353.9979999065399,,,65.0,0.03999999910593033,100.0,0.0,27.75,1000.0,1000.0,0.0
60,720,1776901425.580484,360.06035590171814,000060.png,,720,,,1776887025.309,359.95700001716614,,,87.0,0.0,100.0,0.0,28.25,1000.0,1000.0,0.0
61,732,1776901431.582244,366.06211590766907,000061.png,,732,,,1776887031.283,365.93099999427795,,,87.0,0.0,100.0,0.0,29.25,1000.0,1000.0,0.0
62,744,1776901437.58322,372.0630919933319,000062.png,,744,,,1776887037.316,371.96399998664856,,,87.0,0.0,100.0,0.0,32.0,1000.0,1000.0,0.0
63,756,1776901443.584258,378.0641300678253,000063.png,,756,,,1776887043.348,377.9960000514984,,,87.0,0.0,100.0,0.0,33.75,1000.0,1000.0,0.0
64,768,1776901449.585145,384.0650169849396,000064.png,,768,,,1776887049.372,384.0199999809265,,,87.0,0.0,100.0,0.0,33.75,1000.0,1000.0,0.0
