front_left,front_right,rear_left,rear_right,t
0.0,0.0,0.0,0.0,1776887524.679
0.0,0.0,0.0,0.0,1776887524.69
0.0,3.0,0.0,3.0,1776887524.72
0.0,3.0,0.0,3.0,1776887524.73
24.0,27.0,24.0,27.0,1776887525.131
24.0,27.0,24.0,27.0,1776887525.156
24.0,27.0,24.0,27.0,1776887525.173
24.0,27.0,24.0,27.0,1776887525.199
24.0,27.0,24.0,27.0,1776887525.21
30.0,34.0,30.0,34.0,1776887525.63
30.0,34.0,30.0,34.0,1776887525.656
30.0,34.0,30.0,34.0,1776887525.67
30.0,34.0,30.0,34.0,1776887525.697
30.0,34.0,30.0,34.0,1776887525.711
33.0,-31.0,33.0,-31.0,1776887526.163
33.0,-31.0,33.0,-31.0,1776887526.178
33.0,-31.0,33.0,-31.0,1776887526.19
28.0,-28.0,28.0,-28.0,1776887526.217
28.0,-28.0,28.0,-28.0,1776887526.231
4.0,0.0,4.0,0.0,1776887526.659
4.0,0.0,4.0,0.0,1776887526.67
4.0,0.0,4.0,0.0,1776887526.697
7.0,-4.0,7.0,-4.0,1776887526.71
7.0,-4.0,7.0,-4.0,1776887526.736
12.0,-6.0,12.0,-6.0,1776887527.156
12.0,-6.0,12.0,-6.0,1776887527.171
12.0,-6.0,12.0,-6.0,1776887527.199
12.0,-6.0,12.0,-6.0,1776887527.216
12.0,-6.0,12.0,-6.0,1776887527.231
12.0,-9.0,12.0,-9.0,1776887527.659
12.0,-9.0,12.0,-9.0,1776887527.671
12.0,-9.0,12.0,-9.0,1776887527.696
12.0,-9.0,12.0,-9.0,1776887527.71
12.0,-9.0,12.0,-9.0,1776887527.736
7.0,-5.0,7.0,-5.0,1776887528.151
7.0,-5.0,7.0,-5.0,1776887528.176
7.0,-5.0,7.0,-5.0,1776887528.19
4.0,-3.0,4.0,-3.0,1776887528.219
4.0,-3.0,4.0,-3.0,1776887528.231
-1.0,1.0,-1.0,1.0,1776887528.657
-1.0,1.0,-1.0,1.0,1776887528.671
-1.0,1.0,-1.0,1.0,1776887528.697
-1.0,1.0,-1.0,1.0,1776887528.711
-1.0,1.0,-1.0,1.0,1776887528.738
-1.0,0.0,-1.0,0.0,1776887529.151
-1.0,0.0,-1.0,0.0,1776887529.177
-1.0,0.0,-1.0,0.0,1776887529.191
-1.0,0.0,-1.0,0.0,1776887529.216
-1.0,0.0,-1.0,0.0,1776887529.231
-1.0,0.0,-1.0,0.0,1776887529.659
-1.0,0.0,-1.0,0.0,1776887529.671
-1.0,0.0,-1.0,0.0,1776887529.697
-1.0,0.0,-1.0,0.0,1776887529.711
-1.0,0.0,-1.0,0.0,1776887529.737
0.0,12.0,0.0,12.0,1776887530.151
0.0,12.0,0.0,12.0,1776887530.176
0.0,12.0,0.0,12.0,1776887530.191
0.0,12.0,0.0,12.0,1776887530.218
0.0,12.0,0.0,12.0,1776887530.231
-6.0,18.0,-6.0,18.0,1776887530.651
-6.0,18.0,-6.0,18.0,1776887530.677
-7.0,21.0,-7.0,21.0,1776887530.691
-7.0,21.0,-7.0,21.0,1776887530.719
-7.0,21.0,-7.0,21.0,1776887530.733
-21.0,28.0,-21.0,28.0,1776887531.151
-21.0,28.0,-21.0,28.0,1776887531.176
-21.0,28.0,-21.0,28.0,1776887531.191
-21.0,28.0,-21.0,28.0,1776887531.216
-21.0,28.0,-21.0,28.0,1776887531.231
-27.0,20.0,-27.0,20.0,1776887531.683
-27.0,20.0,-27.0,20.0,1776887531.695
-27.0,20.0,-27.0,20.0,1776887531.712
-27.0,20.0,-27.0,20.0,1776887531.739
-27.0,20.0,-27.0,20.0,1776887531.751
-32.0,22.0,-32.0,22.0,1776887532.178
-28.0,20.0,-28.0,20.0,1776887532.191
-28.0,20.0,-28.0,20.0,1776887532.217
-28.0,20.0,-28.0,20.0,1776887532.231
-28.0,20.0,-28.0,20.0,1776887532.256
-31.0,28.0,-31.0,28.0,1776887532.671
-31.0,28.0,-31.0,28.0,1776887532.691
-31.0,28.0,-31.0,28.0,1776887532.719
-36.0,33.0,-36.0,33.0,1776887532.731
-36.0,33.0,-36.0,33.0,1776887532.757
-52.0,52.0,-52.0,52.0,1776887533.171
-52.0,52.0,-52.0,52.0,1776887533.199
-52.0,52.0,-52.0,52.0,1776887533.211
-52.0,52.0,-52.0,52.0,1776887533.237
-52.0,52.0,-52.0,52.0,1776887533.251
-40.0,39.0,-40.0,39.0,1776887533.677
-40.0,39.0,-40.0,39.0,1776887533.691
-40.0,39.0,-40.0,39.0,1776887533.717
-40.0,39.0,-40.0,39.0,1776887533.731
-40.0,39.0,-40.0,39.0,1776887533.758
24.0,24.0,24.0,24.0,1776887534.171
24.0,24.0,24.0,24.0,1776887534.191
24.0,24.0,24.0,24.0,1776887534.217
24.0,24.0,24.0,24.0,1776887534.231
24.0,24.0,24.0,24.0,1776887534.259
55.0,57.0,55.0,57.0,1776887534.671
55.0,57.0,55.0,57.0,1776887534.696
55.0,57.0,55.0,57.0,1776887534.711
72.0,74.0,72.0,74.0,1776887534.737
72.0,74.0,72.0,74.0,1776887534.751
121.0,126.0,121.0,126.0,1776887535.177
121.0,126.0,121.0,126.0,1776887535.191
121.0,126.0,121.0,126.0,1776887535.217
121.0,126.0,121.0,126.0,1776887535.231
138.0,142.0,138.0,142.0,1776887535.256
144.0,149.0,144.0,149.0,1776887535.691
144.0,149.0,144.0,149.0,1776887535.718
144.0,149.0,144.0,149.0,1776887535.733
144.0,149.0,144.0,149.0,1776887535.759
126.0,133.0,126.0,133.0,1776887535.771
-100.0,-104.0,-100.0,-104.0,1776887536.191
-100.0,-104.0,-100.0,-104.0,1776887536.216
-100.0,-104.0,-100.0,-104.0,1776887536.231
-100.0,-104.0,-100.0,-104.0,1776887536.257
-102.0,-105.0,-102.0,-105.0,1776887536.271
-144.0,-145.0,-144.0,-145.0,1776887537.171
-144.0,-145.0,-144.0,-145.0,1776887537.2
-144.0,-145.0,-144.0,-145.0,1776887537.211
-160.0,-162.0,-160.0,-162.0,1776887537.237
-160.0,-162.0,-160.0,-162.0,1776887537.251
